,year,fips,state_name,county_name,arithmetic_mean|Carbon monoxide,arithmetic_mean|Nitrogen dioxide (NO2),arithmetic_mean|Ozone,arithmetic_mean|PM2.5 - Local Conditions,arithmetic_standard_dev|Carbon monoxide,arithmetic_standard_dev|Nitrogen dioxide (NO2),arithmetic_standard_dev|Ozone,arithmetic_standard_dev|PM2.5 - Local Conditions,fifty_percentile|Carbon monoxide,fifty_percentile|Nitrogen dioxide (NO2),fifty_percentile|Ozone,fifty_percentile|PM2.5 - Local Conditions,first_max_value|Carbon monoxide,first_max_value|Nitrogen dioxide (NO2),first_max_value|Ozone,first_max_value|PM2.5 - Local Conditions,fourth_max_value|Carbon monoxide,fourth_max_value|Nitrogen dioxide (NO2),fourth_max_value|Ozone,fourth_max_value|PM2.5 - Local Conditions,latitude|Nitrogen dioxide (NO2),longitude|PM2.5 - Local Conditions,ninety_eight_percentile|Carbon monoxide,ninety_eight_percentile|Nitrogen dioxide (NO2),ninety_eight_percentile|Ozone,ninety_eight_percentile|PM2.5 - Local Conditions,ninety_five_percentile|Carbon monoxide,ninety_five_percentile|Nitrogen dioxide (NO2),ninety_five_percentile|Ozone,ninety_five_percentile|PM2.5 - Local Conditions,ninety_nine_percentile|Carbon monoxide,ninety_nine_percentile|Nitrogen dioxide (NO2),ninety_nine_percentile|Ozone,ninety_nine_percentile|PM2.5 - Local Conditions,ninety_percentile|Carbon monoxide,ninety_percentile|Nitrogen dioxide (NO2),ninety_percentile|Ozone,ninety_percentile|PM2.5 - Local Conditions,observation_percent|Carbon monoxide,observation_percent|Nitrogen dioxide (NO2),observation_percent|Ozone,observation_percent|PM2.5 - Local Conditions,second_max_value|Carbon monoxide,second_max_value|Nitrogen dioxide (NO2),second_max_value|Ozone,second_max_value|PM2.5 - Local Conditions,seventy_five_percentile|Carbon monoxide,seventy_five_percentile|Nitrogen dioxide (NO2),seventy_five_percentile|Ozone,seventy_five_percentile|PM2.5 - Local Conditions,ten_percentile|Carbon monoxide,ten_percentile|Nitrogen dioxide (NO2),ten_percentile|Ozone,ten_percentile|PM2.5 - Local Conditions,third_max_value|Carbon monoxide,third_max_value|Nitrogen dioxide (NO2),third_max_value|Ozone,third_max_value|PM2.5 - Local Conditions,observed,asthma_deaths_per_100k
0,1980,1001,Alabama,Autauga,0.0,0.0,0.054327,0.0,0.0,0.0,0.017851,0.0,0.0,0.0,0.054000000000000006,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.075,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.093,0.0,0,1.406550780785531
1,1980,1083,Alabama,Limestone,0.0,6.3690479999999985,0.0,0.0,0.0,3.0602505,0.0,0.0,0.0,5.5,0.0,0.0,0.0,17.0,0.0,0.0,0.0,11.5,0.0,0.0,34.744671999999994,0.0,0.0,16.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,17.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,80.5,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,12.5,0.0,0.0,0,1.7444404473026491
2,1980,1099,Alabama,Monroe,0.0,0.0,0.049797,0.0,0.0,0.0,0.022161,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.08199999999999999,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.06100000000000001,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.105,0.0,0,1.429908339572178
3,1980,2185,Alaska,North Slope ,0.190856,2.7592535,0.0,0.0,0.1021485,5.19201,0.0,0.0,0.2,0.5,0.0,0.0,0.65,43.25,0.0,0.0,0.6,33.15,0.0,0.0,70.25195049999999,0.0,0.4,20.9,0.0,0.0,0.4,13.75,0.0,0.0,0.5,26.0,0.0,0.0,0.3,7.9,0.0,0.0,22.5,21.5,0.0,0.0,0.6,42.45,0.0,0.0,0.2,2.6,0.0,0.0,0.1,0.0,0.0,0.0,0.6,34.25,0.0,0.0,0,1.7824513125928496
4,1980,2261,Alaska,Valdez-Cordova ,0.0,4.461930000000001,0.023752,0.0,0.0,4.4814635,0.017207999999999998,0.0,0.0,3.0,0.041,0.0,0.0,37.0,0.056,0.0,0.0,30.5,0.053000000000000005,0.0,61.085586,0.0,0.0,18.5,0.052000000000000005,0.0,0.0,13.0,0.051,0.0,0.0,22.0,0.053000000000000005,0.0,0.0,9.5,0.049,0.0,0.0,47.0,96.0,0.0,0.0,32.0,0.055,0.0,0.0,5.5,0.045000000000000005,0.0,0.0,0.5,0.025,0.0,0.0,30.5,0.053000000000000005,0.0,0,1.6046724133384982
5,1980,4011,Arizona,Greenlee,0.0,0.0,0.051298,0.0,0.0,0.0,0.013084,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.07400000000000001,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.07,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.08199999999999999,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.081,0.0,0,1.4221688923892295
6,1980,5009,Arkansas,Boone,0.0,9.866102,0.0,0.0,0.0,7.661606,0.0,0.0,0.0,11.1,0.0,0.0,0.0,31.6,0.0,0.0,0.0,23.5,0.0,0.0,36.230349,0.0,0.0,24.1,0.0,0.0,0.0,23.8,0.0,0.0,0.0,31.6,0.0,0.0,0.0,21.1,0.0,0.0,0.0,97.0,0.0,0.0,0.0,24.1,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0,1.7761597429277856
7,1980,5031,Arkansas,Craighead,0.0,12.955319,0.0,0.0,0.0,8.345730999999999,0.0,0.0,0.0,11.2,0.0,0.0,0.0,34.300000000000004,0.0,0.0,0.0,26.5,0.0,0.0,35.838685999999996,0.0,0.0,34.300000000000004,0.0,0.0,0.0,27.2,0.0,0.0,0.0,34.300000000000004,0.0,0.0,0.0,24.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,34.2,0.0,0.0,0.0,19.7,0.0,0.0,0.0,3.5,0.0,0.0,0.0,27.2,0.0,0.0,0,1.8041798384919938
8,1980,5069,Arkansas,Jefferson,0.0,8.949098333333334,0.0,0.0,0.0,6.147089333333334,0.0,0.0,0.0,8.266666666666666,0.0,0.0,0.0,40.266666666666666,0.0,0.0,0.0,16.3,0.0,0.0,34.35213333333333,0.0,0.0,20.7,0.0,0.0,0.0,18.3,0.0,0.0,0.0,40.266666666666666,0.0,0.0,0.0,15.433333333333335,0.0,0.0,0.0,98.66666666666669,0.0,0.0,0.0,20.7,0.0,0.0,0.0,11.2,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,18.3,0.0,0.0,0,1.7678422532944158
9,1980,5085,Arkansas,Lonoke,0.0,3.978182,0.0,0.0,0.0,4.284152,0.0,0.0,0.0,2.8000000000000003,0.0,0.0,0.0,21.5,0.0,0.0,0.0,9.2,0.0,0.0,34.542038,0.0,0.0,18.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,21.5,0.0,0.0,0.0,8.2,0.0,0.0,0.0,90.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,6.1000000000000005,0.0,0.0,0.0,0.3,0.0,0.0,0.0,9.6,0.0,0.0,0,1.722754598169611
